"common_name","scientific_name","city","state","diameter_breast_height_CM","condition","native","diameter_breast_height_binned_CM","greater_metro","city_ID","tree_ID","planted_date","most_recent_observation","retired_date","most_recent_observation_type","longitude_coordinate","latitude_coordinate","location_type","zipcode","address","neighborhood","location_name","ward","district","overhead_utility","height_M","height_binned_M","percent_population"
"Red maple","Acer rubrum","Boston","Massachusetts",27.9,"good","naturally_occurring","15.24 to 30.48 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Red maple","Acer rubrum","Boston","Massachusetts",10.7,"good","naturally_occurring","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Red maple","Acer rubrum","Boston","Massachusetts",6,"excellent","naturally_occurring","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Red maple","Acer rubrum","Boston","Massachusetts",4.6,"excellent","naturally_occurring","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Red maple","Acer rubrum","Boston","Massachusetts",13.5,"fair","naturally_occurring","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Red maple","Acer rubrum","Boston","Massachusetts",14.2,"excellent","naturally_occurring","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Red maple","Acer rubrum","Boston","Massachusetts",11.4,"excellent","naturally_occurring","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Red maple","Acer rubrum","Boston","Massachusetts",12.8,"good","naturally_occurring","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Red maple","Acer rubrum","Boston","Massachusetts",5.1,"excellent","naturally_occurring","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Red maple","Acer rubrum","Boston","Massachusetts",4.1,"excellent","naturally_occurring","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Red maple","Acer rubrum","Boston","Massachusetts",32,"good","naturally_occurring","30.48 to 45.72 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eastern hemlock","Tsuga canadensis","Boston","Massachusetts",6.4,"poor","naturally_occurring","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eastern hemlock","Tsuga canadensis","Boston","Massachusetts",4.3,"good","naturally_occurring","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eastern hemlock","Tsuga canadensis","Boston","Massachusetts",8.2,"fair","naturally_occurring","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eastern hemlock","Tsuga canadensis","Boston","Massachusetts",6.3,"poor","naturally_occurring","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eastern hemlock","Tsuga canadensis","Boston","Massachusetts",9,"poor","naturally_occurring","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eastern hemlock","Tsuga canadensis","Boston","Massachusetts",8.4,"fair","naturally_occurring","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eastern hemlock","Tsuga canadensis","Boston","Massachusetts",9.6,"good","naturally_occurring","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eastern hemlock","Tsuga canadensis","Boston","Massachusetts",8.8,"fair","naturally_occurring","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eastern hemlock","Tsuga canadensis","Boston","Massachusetts",11.8,"good","naturally_occurring","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eastern hemlock","Tsuga canadensis","Boston","Massachusetts",8.6,"excellent","naturally_occurring","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eastern hemlock","Tsuga canadensis","Boston","Massachusetts",9.5,"fair","naturally_occurring","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"White spruce","Picea glauca","Boston","Massachusetts",9.7,"fair","introduced","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Flowering dogwood","Cornus florida","Boston","Massachusetts",9,"excellent","naturally_occurring","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cherry plum","Prunus cerasifera","Boston","Massachusetts",7.9,"excellent","introduced","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Flowering dogwood","Cornus florida","Boston","Massachusetts",11.7,"good","naturally_occurring","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sycamore maple","Acer pseudoplatanus","Boston","Massachusetts",51.3,"excellent","introduced","45.72 to 60.96 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Norway maple","Acer platanoides","Boston","Massachusetts",10.4,"excellent","introduced","0 to 15.24 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sycamore maple","Acer pseudoplatanus","Boston","Massachusetts",16.4,"excellent","introduced","15.24 to 30.48 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sycamore maple","Acer pseudoplatanus","Boston","Massachusetts",18.6,"excellent","introduced","15.24 to 30.48 cm","Boston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
