"city_ID","most_recent_observation","most_recent_observation_type","common_name","scientific_name","city","state","longitude_coordinate","latitude_coordinate","location_type","overhead_utility","condition","native","diameter_breast_height_binned_CM","greater_metro","tree_ID","planted_date","retired_date","zipcode","address","neighborhood","location_name","ward","district","diameter_breast_height_CM","height_M","height_binned_M","percent_population"
1564,"6/1/2013","inventory_date","American elm","Ulmus americana","De Soto","Iowa",-94.00735637,41.5290364,"no_info","No lines","good","naturally_occurring","45.72 to 60.96 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1621,"6/1/2013","inventory_date","Black walnut","Juglans nigra","De Soto","Iowa",-94.01060926,41.52701607,"green_space","No lines","good","naturally_occurring","30.48 to 45.72 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2391,"6/27/2016","inventory_date","Austrian pine","Pinus nigra","Newton","Iowa",-93.05781353,41.68664808,"green_space","No lines","poor","introduced","45.72 to 60.96 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2392,"6/27/2016","inventory_date","Austrian pine","Pinus nigra","Newton","Iowa",-93.05432982,41.6901229,"green_space","No lines","dead/dying","introduced","30.48 to 45.72 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3401,"6/27/2016","inventory_date","Austrian pine","Pinus nigra","Newton","Iowa",-93.0534256,41.68978024,"green_space","No lines","dead/dying","introduced","15.24 to 30.48 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3402,"6/27/2016","inventory_date","Austrian pine","Pinus nigra","Newton","Iowa",-93.05392195,41.68895684,"green_space","No lines","fair","introduced","0 to 15.24 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3403,"6/27/2016","inventory_date","Hickory","Carya","Newton","Iowa",-93.07849798,41.70026453,"green_space","No lines","good","no_info","30.48 to 45.72 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4133,"6/27/2016","inventory_date","Bur oak","Quercus macrocarpa","Newton","Iowa",-93.05381742,41.68659882,"green_space","No lines","fair","naturally_occurring","60.96 to 76.2 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4134,"6/27/2016","inventory_date","Northern red oak","Quercus rubra","Newton","Iowa",-93.05407313,41.68710174,"green_space","No lines","dead/dying","naturally_occurring","more than 76.2 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4135,"6/27/2016","inventory_date","Bur oak","Quercus macrocarpa","Newton","Iowa",-93.05776722,41.68976015,"green_space","No lines","dead/dying","naturally_occurring","60.96 to 76.2 cm","DesMoines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
