"city_ID","most_recent_observation","most_recent_observation_type","common_name","scientific_name","city","state","longitude_coordinate","latitude_coordinate","diameter_breast_height_CM","condition","height_M","native","height_binned_M","diameter_breast_height_binned_CM","greater_metro","tree_ID","planted_date","retired_date","location_type","zipcode","address","neighborhood","location_name","ward","district","overhead_utility","percent_population"
"AY395","10/15/2013","inventory_date","Crepe myrtle","Lagerstroemia","Greensboro","North Carolina",-79.465496,36.044337,NA,"good",NA,"no_info",NA,NA,"Greensboro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AY1199","10/17/2013","inventory_date","Plum","Prunus cerasifera","Greensboro","North Carolina",-79.46597,36.044663,NA,"good",8.40585,"introduced","4.57 to 9.14 m",NA,"Greensboro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH1","9/9/2013","inventory_date","Elm","Ulmus","Greensboro","North Carolina",-79.481886,36.042078,NA,"good",8.14903,"no_info","4.57 to 9.14 m",NA,"Greensboro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH5","9/9/2013","inventory_date","Redbud","Cercis canadensis","Greensboro","North Carolina",-79.481805,36.042139,NA,"poor",8.05208,"naturally_occurring","4.57 to 9.14 m",NA,"Greensboro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH6","9/9/2013","inventory_date","Redbud","Cercis canadensis","Greensboro","North Carolina",-79.481805,36.042157,NA,"fair",8.04336,"naturally_occurring","4.57 to 9.14 m",NA,"Greensboro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH10","9/9/2013","inventory_date","Ornamental cherry","Prunus","Greensboro","North Carolina",-79.481791,36.042259,NA,"good",8.2328,"no_info","4.57 to 9.14 m",NA,"Greensboro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH11","9/9/2013","inventory_date","Ornamental cherry","Prunus","Greensboro","North Carolina",-79.481786,36.042277,NA,"good",8.2333,"no_info","4.57 to 9.14 m",NA,"Greensboro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH14","9/9/2013","inventory_date","Deciduous magnolia","Magnolia","Greensboro","North Carolina",-79.481845,36.042333,NA,"good",8.2095,"no_info","4.57 to 9.14 m",NA,"Greensboro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH23","9/9/2013","inventory_date","Southern magnolia","Magnolia grandiflora","Greensboro","North Carolina",-79.481579,36.042309,NA,"good",8.14811,"naturally_occurring","4.57 to 9.14 m",NA,"Greensboro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH24","9/9/2013","inventory_date","Elm","Ulmus","Greensboro","North Carolina",-79.481537,36.042318,NA,"good",8.09096,"no_info","4.57 to 9.14 m",NA,"Greensboro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH30","9/9/2013","inventory_date","Crepe myrtle","Lagerstroemia","Greensboro","North Carolina",-79.481534,36.042244,NA,"good",8.04933,"no_info","4.57 to 9.14 m",NA,"Greensboro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH35","9/9/2013","inventory_date","Holly","Ilex","Greensboro","North Carolina",-79.48154,36.042111,NA,"good",NA,"no_info",NA,NA,"Greensboro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH36","9/9/2013","inventory_date","Holly","Ilex","Greensboro","North Carolina",-79.48154,36.042105,NA,"good",NA,"no_info",NA,NA,"Greensboro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH37","9/9/2013","inventory_date","Holly","Ilex","Greensboro","North Carolina",-79.481545,36.042096,NA,"good",NA,"no_info",NA,NA,"Greensboro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH58","9/9/2013","inventory_date","Leyland cypress","Cupressus leylandii","Greensboro","North Carolina",-79.481747,36.041877,NA,"good",8.16484,"no_info","4.57 to 9.14 m",NA,"Greensboro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH74","9/17/2013","inventory_date","Crepe myrtle","Lagerstroemia","Greensboro","North Carolina",-79.481279,36.042211,NA,"excellent",8.15626,"no_info","4.57 to 9.14 m",NA,"Greensboro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH77","9/17/2013","inventory_date","Redbud","Cercis canadensis","Greensboro","North Carolina",-79.481197,36.042196,NA,"good",8.23456,"naturally_occurring","4.57 to 9.14 m",NA,"Greensboro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH81","9/17/2013","inventory_date","Redbud","Cercis canadensis","Greensboro","North Carolina",-79.481134,36.042193,NA,"good",8.12636,"naturally_occurring","4.57 to 9.14 m",NA,"Greensboro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH582","9/18/2013","inventory_date","Deciduous magnolia","Magnolia","Greensboro","North Carolina",-79.481954,36.041283,NA,"good",8.07656,"no_info","4.57 to 9.14 m",NA,"Greensboro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH655","9/19/2013","inventory_date","Crepe myrtle","Lagerstroemia","Greensboro","North Carolina",-79.481593,36.041301,NA,"good",8.19701,"no_info","4.57 to 9.14 m",NA,"Greensboro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH688","9/19/2013","inventory_date","Crepe myrtle","Lagerstroemia","Greensboro","North Carolina",-79.481056,36.041245,NA,"good",8.19426,"no_info","4.57 to 9.14 m",NA,"Greensboro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH689","9/19/2013","inventory_date","Crepe myrtle","Lagerstroemia","Greensboro","North Carolina",-79.481058,36.041229,NA,"good",8.22072,"no_info","4.57 to 9.14 m",NA,"Greensboro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
