"city_ID","planted_date","common_name","scientific_name","city","state","longitude_coordinate","latitude_coordinate","location_type","address","overhead_utility","diameter_breast_height_CM","condition","native","diameter_breast_height_binned_CM","greater_metro","tree_ID","most_recent_observation","retired_date","most_recent_observation_type","zipcode","neighborhood","location_name","ward","district","height_M","height_binned_M","percent_population"
99051,NA,"_multiple species (_multiple species)",NA,"Knoxville","Tennessee","-83.87668071","35.94941483","built_environment","2440 Aberdeen Ln","No",431.8,"good","no_info","more than 76.2 cm","Knoxville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100411,NA,"Black (robinia pseudoacacia) locust","Robinia pseudoacacia","Knoxville","Tennessee","-83.87590619","35.9481577","green_space","2525 Aberdeen Ln","No",68.58,"poor","naturally_occurring","60.96 to 76.2 cm","Knoxville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100826,NA,"Red (acer rubrum) maple","Acer rubrum","Knoxville","Tennessee","-84.08310585","35.86455343","built_environment","9500 Abrams Creek Way","No",5.08,"good","naturally_occurring","0 to 15.24 cm","Knoxville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100825,NA,"Red (acer rubrum) maple","Acer rubrum","Knoxville","Tennessee","-84.0832945","35.8644049","built_environment","9508 Abrams Creek Way","No",5.08,"good","naturally_occurring","0 to 15.24 cm","Knoxville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100824,NA,"Red (acer rubrum) maple","Acer rubrum","Knoxville","Tennessee","-84.08361324","35.86417086","built_environment","9520 Abrams Creek Way","No",10.16,"good","naturally_occurring","0 to 15.24 cm","Knoxville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100823,NA,"Red (acer rubrum) maple","Acer rubrum","Knoxville","Tennessee","-84.0835578","35.86402196","built_environment","9520 Abrams Creek Way","No",10.16,"good","naturally_occurring","0 to 15.24 cm","Knoxville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101680,NA,"Silver (acer saccharinum) maple","Acer saccharinum","Knoxville","Tennessee","-83.91008442","36.03246643","green_space","3911 Acorn Dr","No",68.58,"dead","naturally_occurring","60.96 to 76.2 cm","Knoxville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101681,NA,"Silver (acer saccharinum) maple","Acer saccharinum","Knoxville","Tennessee","-83.91014879","36.03246752","green_space","3911 Acorn Dr","No",101.6,"dead","naturally_occurring","more than 76.2 cm","Knoxville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100342,NA,"Black (juglans nigra) walnut","Juglans nigra","Knoxville","Tennessee","-83.89177059","35.97590205","built_environment","898 Addison St","Yes",30.48,"good","naturally_occurring","15.24 to 30.48 cm","Knoxville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95946,NA,"_multiple species (_multiple species)",NA,"Knoxville","Tennessee","-83.89084148","35.97384927","built_environment","1039 Addison St","No",1209.04,"good","no_info","more than 76.2 cm","Knoxville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
