"common_name","scientific_name","city","state","longitude_coordinate","latitude_coordinate","address","native","height_binned_M","diameter_breast_height_binned_CM","greater_metro","city_ID","tree_ID","planted_date","most_recent_observation","retired_date","most_recent_observation_type","location_type","zipcode","neighborhood","location_name","ward","district","overhead_utility","diameter_breast_height_CM","condition","height_M","percent_population"
"Sycamore maple","Acer pseudoplatanus","Nashville","Tennessee",-86.7872886,36.1624279,"330 10th Av N","introduced",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Callery pear","Pyrus calleryana","Nashville","Tennessee",-86.783856,36.153515,"319 11th Av S","introduced",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Shumard oak","Quercus shumardii","Nashville","Tennessee",-86.7839574,36.153515,"11th Av S","naturally_occurring",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Shumard oak","Quercus shumardii","Nashville","Tennessee",-86.7839574,36.153515,"11th Av S","naturally_occurring",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tulip poplar","Liriodendron tulipifera","Nashville","Tennessee",-86.7872886,36.1624279,"330 10th Av N","naturally_occurring",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tulip poplar","Liriodendron tulipifera","Nashville","Tennessee",-86.7872886,36.1624279,"330 10th Av N","naturally_occurring",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tulip poplar","Liriodendron tulipifera","Nashville","Tennessee",-86.7872886,36.1624279,"330 10th Av N","naturally_occurring",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tulip poplar","Liriodendron tulipifera","Nashville","Tennessee",-86.7872886,36.1624279,"330 10th Av N","naturally_occurring",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tulip poplar","Liriodendron tulipifera","Nashville","Tennessee",-86.7872886,36.1624279,"330 10th Av N","naturally_occurring",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tulip poplar","Liriodendron tulipifera","Nashville","Tennessee",-86.7872886,36.1624279,"330 10th Av N","naturally_occurring",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"London planetree","Platanus acerifolia","Nashville","Tennessee",-86.7872886,36.1624279,"330 10th Av N","introduced",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"London planetree","Platanus acerifolia","Nashville","Tennessee",-86.7872886,36.1624279,"330 10th Av N","introduced",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"London planetree","Platanus acerifolia","Nashville","Tennessee",-86.7872886,36.1624279,"330 10th Av N","introduced",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"London planetree","Platanus acerifolia","Nashville","Tennessee",-86.7872886,36.1624279,"330 10th Av N","introduced",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"London planetree","Platanus acerifolia","Nashville","Tennessee",-86.7872886,36.1624279,"330 10th Av N","introduced",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Shumard oak","Quercus shumardii","Nashville","Tennessee",-86.7839574,36.153515,"11th Av S","naturally_occurring",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Shumard oak","Quercus shumardii","Nashville","Tennessee",-86.7839574,36.153515,"11th Av S","naturally_occurring",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siberian elm","Ulmus pumila","Nashville","Tennessee",-86.7872886,36.1624279,"330 10th Av N","introduced",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siberian elm","Ulmus pumila","Nashville","Tennessee",-86.7872886,36.1624279,"330 10th Av N","introduced",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sugar maple","Acer saccharum","Nashville","Tennessee",-86.782796,36.155912,"111 10th Av S","naturally_occurring",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sugar maple","Acer saccharum","Nashville","Tennessee",-86.782796,36.155912,"111 10th Av S","naturally_occurring",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sugar maple","Acer saccharum","Nashville","Tennessee",-86.782796,36.155912,"111 10th Av S","naturally_occurring",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sugar maple","Acer saccharum","Nashville","Tennessee",-86.782796,36.155912,"111 10th Av S","naturally_occurring",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sugar maple","Acer saccharum","Nashville","Tennessee",-86.782796,36.155912,"111 10th Av S","naturally_occurring",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sugar maple","Acer saccharum","Nashville","Tennessee",-86.782796,36.155912,"111 10th Av S","naturally_occurring",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sugar maple","Acer saccharum","Nashville","Tennessee",-86.782796,36.155912,"111 10th Av S","naturally_occurring",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chinese pistache","Pistacia L.","Nashville","Tennessee",-86.782796,36.155912,"111 10th Av S","no_info",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chinese pistache","Pistacia L.","Nashville","Tennessee",-86.782796,36.155912,"111 10th Av S","no_info",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chinese pistache","Pistacia L.","Nashville","Tennessee",-86.782796,36.155912,"111 10th Av S","no_info",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chinese pistache","Pistacia L.","Nashville","Tennessee",-86.782796,36.155912,"111 10th Av S","no_info",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chinese pistache","Pistacia L.","Nashville","Tennessee",-86.782796,36.155912,"111 10th Av S","no_info",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chinese pistache","Pistacia L.","Nashville","Tennessee",-86.782796,36.155912,"111 10th Av S","no_info",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chinese pistache","Pistacia L.","Nashville","Tennessee",-86.782796,36.155912,"111 10th Av S","no_info",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chinese pistache","Pistacia L.","Nashville","Tennessee",-86.782796,36.155912,"111 10th Av S","no_info",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chinese pistache","Pistacia L.","Nashville","Tennessee",-86.782796,36.155912,"111 10th Av S","no_info",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chinese pistache","Pistacia L.","Nashville","Tennessee",-86.782796,36.155912,"111 10th Av S","no_info",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yoshino cherry","Prunus yedoensis","Nashville","Tennessee",-86.782796,36.155912,"111 10th Av S","introduced",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yoshino cherry","Prunus yedoensis","Nashville","Tennessee",-86.782796,36.155912,"111 10th Av S","introduced",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yoshino cherry","Prunus yedoensis","Nashville","Tennessee",-86.782796,36.155912,"111 10th Av S","introduced",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siberian elm","Ulmus pumila","Nashville","Tennessee",-86.782796,36.155912,"111 10th Av S","introduced",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siberian elm","Ulmus pumila","Nashville","Tennessee",-86.782796,36.155912,"111 10th Av S","introduced",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Siberian elm","Ulmus pumila","Nashville","Tennessee",-86.782796,36.155912,"111 10th Av S","introduced",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Honey locust","Gleditsia triacanthos","Nashville","Tennessee",-86.7825585,36.1551458,"209 10th Av S","naturally_occurring",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Shumard oak","Quercus shumardii","Nashville","Tennessee",-86.7839574,36.153515,"11th Av S","naturally_occurring",NA,NA,"Nashville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
