"city_ID","common_name","scientific_name","city","state","location_type","ward","diameter_breast_height_CM","condition","native","diameter_breast_height_binned_CM","greater_metro","tree_ID","planted_date","most_recent_observation","retired_date","most_recent_observation_type","longitude_coordinate","latitude_coordinate","zipcode","address","neighborhood","location_name","district","overhead_utility","height_M","height_binned_M","percent_population"
2,NA,NA,"Richmond","Virginia","no_info","Council district 3",NA,NA,"no_info",NA,"Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,"Richmond","Virginia","green_space","Council district 3",NA,NA,"no_info",NA,"Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"Green ash","Fraxinus pennsylvanica","Richmond","Virginia","no_info","Council district 3",30.48,"fair","naturally_occurring","15.24 to 30.48 cm","Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"Green ash","Fraxinus pennsylvanica","Richmond","Virginia","no_info","Council district 3",40.64,"good","naturally_occurring","30.48 to 45.72 cm","Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,NA,NA,"Richmond","Virginia","no_info","Council district 3",NA,NA,"no_info",NA,"Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,"Richmond","Virginia","no_info","Council district 3",NA,NA,"no_info",NA,"Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,"Richmond","Virginia","no_info","Council district 3",NA,NA,"no_info",NA,"Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,NA,NA,"Richmond","Virginia","no_info","Council district 3",NA,NA,"no_info",NA,"Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"Green ash","Fraxinus pennsylvanica","Richmond","Virginia","no_info","Council district 3",66.04,"poor","naturally_occurring","60.96 to 76.2 cm","Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Sugar maple","Acer saccharum","Richmond","Virginia","no_info","Council district 3",15.24,"fair","naturally_occurring","0 to 15.24 cm","Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"Sugar maple","Acer saccharum","Richmond","Virginia","no_info","Council district 3",20.32,"fair","naturally_occurring","15.24 to 30.48 cm","Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,NA,NA,"Richmond","Virginia","no_info","Council district 3",NA,NA,"no_info",NA,"Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,NA,NA,"Richmond","Virginia","no_info","Council district 3",NA,NA,"no_info",NA,"Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"Chinese elm","Ulmus parvifolia","Richmond","Virginia","no_info","Council district 2",10.16,"good","introduced","0 to 15.24 cm","Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"Chinese elm","Ulmus parvifolia","Richmond","Virginia","no_info","Council district 2",10.16,"good","introduced","0 to 15.24 cm","Richmond",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
