"city_ID","planted_date","most_recent_observation","most_recent_observation_type","common_name","scientific_name","city","state","longitude_coordinate","latitude_coordinate","zipcode","address","neighborhood","location_name","diameter_breast_height_CM","condition","height_M","native","height_binned_M","diameter_breast_height_binned_CM","greater_metro","tree_ID","retired_date","location_type","ward","district","overhead_utility","percent_population"
2748162,"2017to2018","05/26/2020","edit_date","River birch","Betula nigra","Durham","North Carolina",-78.89805391,36.00505754,27701,"301 W Trinity Ave",NA,NA,1.27,"excellent",16.4042,"naturally_occurring","13.71 to 18.29 m","0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2748596,"2017to2018","06/27/2020","edit_date","Trident maple","Acer buergerianum","Durham","North Carolina",-78.87823176,35.98862431,27703,"314 N Driver St","Old east durham",NA,4.064,"excellent",16.4042,"introduced","13.71 to 18.29 m","0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2748186,"2017to2018","05/26/2020","edit_date","Ginkgo","Ginkgo biloba","Durham","North Carolina",-78.90029222,36.00655796,27701,"317 Monmouth Ave",NA,NA,1.27,"excellent",16.4042,"introduced","13.71 to 18.29 m","0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2944915,"2019to2020","03/19/2020","edit_date","American elm","Ulmus americana","Durham","North Carolina",-78.90202895,35.99445078,27701,"134 W Pettigrew St","Downtown",NA,10.16,"good",NA,"naturally_occurring",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2944918,"2019to2020","03/19/2020","edit_date","American elm","Ulmus americana","Durham","North Carolina",-78.90166953,35.99425222,27701,"116 W Pettigrew St","Downtown",NA,10.16,"good",NA,"naturally_occurring",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2944912,"2019to2020","03/19/2020","edit_date","American elm","Ulmus americana","Durham","North Carolina",-78.90237361,35.99464284,27701,"154 W Pettigrew St","Downtown",NA,10.16,"good",NA,"naturally_occurring",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2748610,"2017to2018","05/26/2020","edit_date","Ginkgo","Ginkgo biloba","Durham","North Carolina",-78.91454145,35.99932469,27701,"805 Wilkerson Ave",NA,NA,2.032,"excellent",16.4042,"introduced","13.71 to 18.29 m","0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2944925,"2019to2020","03/19/2020","edit_date","American elm","Ulmus americana","Durham","North Carolina",-78.90042901,35.99355886,27701,"127 E Pettigrew St","Downtown",NA,10.16,"good",NA,"naturally_occurring",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2749165,"2017to2018","05/26/2020","edit_date","Shantung maple","Acer truncatum","Durham","North Carolina",-78.91456157,35.99837424,27701,"802 Burch Ave",NA,NA,1.27,"excellent",16.4042,"introduced","13.71 to 18.29 m","0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2944922,"2019to2020","03/19/2020","edit_date",NA,NA,"Durham","North Carolina",-78.90076697,35.99375526,27701,"81 E Pettigrew St","Downtown",NA,10.16,"good",NA,"no_info",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2944924,"2019to2020","03/19/2020","edit_date","American elm","Ulmus americana","Durham","North Carolina",-78.90054166,35.99362288,27701,"111 E Pettigrew St","Downtown",NA,10.16,"good",NA,"naturally_occurring",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2944923,"2019to2020","03/19/2020","edit_date","American elm","Ulmus americana","Durham","North Carolina",-78.90065432,35.99369016,27701,"97 E Pettigrew St","Downtown",NA,10.16,"good",NA,"naturally_occurring",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2874291,NA,"03/30/2020","edit_date","Common crapemyrtle","Lagerstroemia","Durham","North Carolina",-78.90597763,35.98455051,27707,"901ÃƒÆ’Ã†â€™Ãƒâ€ Ã¢â‚¬â„¢ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â999 South St","Southside/ college view",NA,5.08,"good",NA,"no_info",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2749170,"2017to2018","05/26/2020","edit_date","Chinese redbud","Cercis chinensis","Durham","North Carolina",-78.91857147,35.99799123,27701,"911 Burch Ave",NA,NA,1.27,"excellent",16.4042,"introduced","13.71 to 18.29 m","0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2944921,"2019to2020","03/19/2020","edit_date","American elm","Ulmus americana","Durham","North Carolina",-78.90087023,35.99381385,27701,"67 E Pettigrew St","Downtown",NA,10.16,"good",NA,"naturally_occurring",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2749171,"2017to2018","05/26/2020","edit_date","Chinese redbud","Cercis chinensis","Durham","North Carolina",-78.9190878,35.99793047,27701,"921 Burch Ave",NA,NA,1.27,"good",16.4042,"introduced","13.71 to 18.29 m","0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2748621,NA,"03/30/2020","edit_date","Chinese fringe tree","Chionanthus retusus","Durham","North Carolina",-78.92332971,36.01049382,27705,"2106 Hillsborough Rd","Old west durham",NA,2.54,"excellent",16.4042,"introduced","13.71 to 18.29 m","0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2748873,"2017to2018","05/26/2020","edit_date","Ginkgo","Ginkgo biloba","Durham","North Carolina",-78.90963745,36.01330609,27701,"1014 W Knox St",NA,NA,1.27,"excellent",16.4042,"introduced","13.71 to 18.29 m","0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2749174,"2017to2018","05/26/2020","edit_date","Chinese redbud","Cercis chinensis","Durham","North Carolina",-78.91931981,35.99781437,27701,"1001 Burch Ave",NA,NA,1.27,"fair",16.4042,"introduced","13.71 to 18.29 m","0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2749176,"2017to2018","05/26/2020","edit_date","Chinese redbud","Cercis chinensis","Durham","North Carolina",-78.91931713,35.997682,27701,"1001 Burch Ave",NA,NA,1.27,"fair",16.4042,"introduced","13.71 to 18.29 m","0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2749185,"2017to2018","05/26/2020","edit_date","Yellowwood","Cladrastis kentukea","Durham","North Carolina",-78.92129374,35.99783325,27701,"1102 Burch Ave",NA,NA,1.27,"excellent",16.4042,"naturally_occurring","13.71 to 18.29 m","0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2748885,"2017to2018","05/26/2020","edit_date","Chinese redbud","Cercis chinensis","Durham","North Carolina",-78.90820849,36.01415486,27701,"1314 N Gregson St",NA,NA,2.032,"excellent",16.4042,"introduced","13.71 to 18.29 m","0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2749186,"2017to2018","05/26/2020","edit_date","Chinese pistache","Pistacia chinensis","Durham","North Carolina",-78.92308325,35.99777267,27701,"1193 Burch Ave",NA,NA,2.032,"excellent",16.4042,"introduced","13.71 to 18.29 m","0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2749187,"2017to2018","05/26/2020","edit_date","Chinese pistache","Pistacia chinensis","Durham","North Carolina",-78.92290491,35.99776281,27701,"1185 Burch Ave",NA,NA,2.032,"excellent",16.4042,"introduced","13.71 to 18.29 m","0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2748890,NA,"03/30/2020","edit_date","Eastern redbud","Cercis canadensis","Durham","North Carolina",-78.90822887,36.01541555,27701,"1410 N Gregson St",NA,NA,2.54,"excellent",16.4042,"naturally_occurring","13.71 to 18.29 m","0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2748891,"2017to2018","05/26/2020","edit_date","Black gum","Nyssa sylvatica","Durham","North Carolina",-78.90835628,36.0152767,27701,"1405 N Gregson St",NA,NA,2.032,"excellent",16.4042,"naturally_occurring","13.71 to 18.29 m","0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2748643,"2017to2018","05/26/2020","edit_date","Shantung maple","Acer truncatum","Durham","North Carolina",-78.92613597,36.01055132,27705,"2352 Hillsborough Rd","Old west durham",NA,1.27,"fair",16.4042,"introduced","13.71 to 18.29 m","0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2944960,"2019to2020","03/24/2020","edit_date","Willow oak","Quercus phellos","Durham","North Carolina",-78.90421423,35.99562828,27701,"W Pettigrew St","Downtown",NA,7.62,"good",NA,"naturally_occurring",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2945999,"2019to2020","06/02/2020","edit_date","Willow oak","Quercus phellos","Durham","North Carolina",-78.90481979,35.99595682,27701,"344 W Pettigrew St","Downtown",NA,7.62,"good",NA,"naturally_occurring",NA,"0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2749201,"2017to2018","05/26/2020","edit_date","American hornbeam","Carpinus caroliniana","Durham","North Carolina",-78.91454291,35.99843821,27701,"414 S Buchanan Blvd",NA,NA,1.27,"excellent",16.4042,"naturally_occurring","13.71 to 18.29 m","0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2749202,"2017to2018","05/26/2020","edit_date","American hornbeam","Carpinus caroliniana","Durham","North Carolina",-78.91451114,35.99851437,27701,"414 S Buchanan Blvd",NA,NA,1.27,"excellent",16.4042,"naturally_occurring","13.71 to 18.29 m","0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2748648,"2017to2018","07/01/2020","edit_date","Shantung maple","Acer truncatum","Durham","North Carolina",-78.92634183,36.01055783,27705,"2352 Hillsborough Rd","Old west durham",NA,1.27,"fair",16.4042,"introduced","13.71 to 18.29 m","0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2748908,"2017to2018","05/26/2020","edit_date","Trident maple","Acer buergerianum","Durham","North Carolina",-78.90542829,36.01493859,27701,"1502 N Duke St",NA,NA,5.08,"excellent",16.4042,"introduced","13.71 to 18.29 m","0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2749209,"2017to2018","05/26/2020","edit_date","American hornbeam","Carpinus caroliniana","Durham","North Carolina",-78.91430005,35.99912071,27701,"402 S Buchanan Blvd",NA,NA,1.27,"poor",16.4042,"naturally_occurring","13.71 to 18.29 m","0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2749210,"2017to2018","05/26/2020","edit_date","American hornbeam","Carpinus caroliniana","Durham","North Carolina",-78.91426921,35.99921728,27701,"402 S Buchanan Blvd",NA,NA,1.27,"fair",16.4042,"naturally_occurring","13.71 to 18.29 m","0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
2749212,"2017to2018","05/26/2020","edit_date","Chinese fringe tree","Chionanthus retusus","Durham","North Carolina",-78.91490489,35.99812577,27701,"502 S Buchanan Blvd",NA,NA,1.27,"excellent",16.4042,"introduced","13.71 to 18.29 m","0 to 15.24 cm","Durham",NA,NA,NA,NA,NA,NA,NA
