"city_ID","common_name","scientific_name","city","state","longitude_coordinate","latitude_coordinate","address","district","diameter_breast_height_CM","height_M","native","height_binned_M","diameter_breast_height_binned_CM","greater_metro","tree_ID","planted_date","most_recent_observation","retired_date","most_recent_observation_type","location_type","zipcode","neighborhood","location_name","ward","overhead_utility","condition","percent_population"
14,"Monterey pine","Pinus radiata","Garden Grove","California",-117.9583899,33.79952299,"10021 Brookside Dr",7,30.48,49.2126,"naturally_occurring","more than 18.29 m","15.24 to 30.48 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"Chinaberry","Melia azedarach","Garden Grove","California",-117.9583146,33.79951624,"10021 Brookside Dr",7,45.72,98.4252,"introduced","more than 18.29 m","30.48 to 45.72 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"Carrotwood","Cupaniopsis anacardioides","Garden Grove","California",-117.9581684,33.79610896,"10021 Orangewood Ave",7,45.72,98.4252,"introduced","more than 18.29 m","30.48 to 45.72 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Carrotwood","Cupaniopsis anacardioides","Garden Grove","California",-117.9582717,33.79606164,"10021 Orangewood Ave",7,30.48,98.4252,"introduced","more than 18.29 m","15.24 to 30.48 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"Carrotwood","Cupaniopsis anacardioides","Garden Grove","California",-117.9583837,33.79602919,"10021 Orangewood Ave",7,45.72,98.4252,"introduced","more than 18.29 m","30.48 to 45.72 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"Brisbane box","Lophostemon confertus","Garden Grove","California",-117.954456,33.76268821,"10021 Traylor Way",5,45.72,98.4252,"introduced","more than 18.29 m","30.48 to 45.72 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"Crape myrtle","Lagerstroemia indica","Garden Grove","California",-117.9544779,33.76952336,"10022 Imperial Ave",9,45.72,98.4252,"introduced","more than 18.29 m","30.48 to 45.72 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"Crape myrtle","Lagerstroemia indica","Garden Grove","California",-117.9543669,33.76952534,"10022 Imperial Ave",9,45.72,98.4252,"introduced","more than 18.29 m","30.48 to 45.72 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,"Chinese elm","Ulmus parvifolia","Garden Grove","California",-117.9582366,33.790757,"10022 Melody Park Dr",7,60.96,196.8504,"introduced","more than 18.29 m","45.72 to 60.96 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"Chinese elm","Ulmus parvifolia","Garden Grove","California",-117.9581554,33.79950927,"10031 Brookside Dr",7,76.2,196.8504,"introduced","more than 18.29 m","60.96 to 76.2 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"Chinese elm","Ulmus parvifolia","Garden Grove","California",-117.9578249,33.79106932,"10031 Melody Park Dr",7,60.96,196.8504,"introduced","more than 18.29 m","45.72 to 60.96 cm","GardenGrove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
