"common_name","scientific_name","city","state","diameter_breast_height_CM","condition","native","diameter_breast_height_binned_CM","greater_metro","city_ID","tree_ID","planted_date","most_recent_observation","retired_date","most_recent_observation_type","longitude_coordinate","latitude_coordinate","location_type","zipcode","address","neighborhood","location_name","ward","district","overhead_utility","height_M","height_binned_M","percent_population"
"Norfolk island pine","Araucaria heterophylla","Miami","Florida",82.042,"excellent","introduced","more than 76.2 cm","Miami",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slash pine","Pinus elliottii","Miami","Florida",85.344,"good","naturally_occurring","more than 76.2 cm","Miami",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazilian pepper","Schinus terebinthifolia","Miami","Florida",31.496,"excellent","introduced","30.48 to 45.72 cm","Miami",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slash pine","Pinus elliottii","Miami","Florida",45.974,"poor","naturally_occurring","45.72 to 60.96 cm","Miami",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benjamin fig","Ficus benjamina","Miami","Florida",32.512,"fair","introduced","30.48 to 45.72 cm","Miami",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benjamin fig","Ficus benjamina","Miami","Florida",39.116,"fair","introduced","30.48 to 45.72 cm","Miami",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slash pine","Pinus elliottii","Miami","Florida",84.582,"fair","naturally_occurring","more than 76.2 cm","Miami",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slash pine","Pinus elliottii","Miami","Florida",82.55,"good","naturally_occurring","more than 76.2 cm","Miami",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slash pine","Pinus elliottii","Miami","Florida",52.324,"fair","naturally_occurring","45.72 to 60.96 cm","Miami",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slash pine","Pinus elliottii","Miami","Florida",66.294,"good","naturally_occurring","60.96 to 76.2 cm","Miami",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
