"city_ID","common_name","scientific_name","city","state","longitude_coordinate","latitude_coordinate","address","location_name","diameter_breast_height_CM","condition","height_M","native","height_binned_M","diameter_breast_height_binned_CM","greater_metro","tree_ID","planted_date","most_recent_observation","retired_date","most_recent_observation_type","location_type","zipcode","neighborhood","ward","district","overhead_utility","percent_population"
7,"Escarpment live oak","Quercus fusiformis","Austin","Texas",-97.73690456,30.27315066,"1201 Red River St","Waterloo neighborhood park",68.58,"poor",88.58268,"naturally_occurring","more than 18.29 m","60.96 to 76.2 cm","Austin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,"American elm","Ulmus americana","Austin","Texas",-97.73657692,30.27391038,"1201 Red River St","Waterloo neighborhood park",55.88,"fair",26.24672,"naturally_occurring","more than 18.29 m","45.72 to 60.96 cm","Austin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,"Escarpment live oak","Quercus fusiformis","Austin","Texas",-97.73659665,30.27335967,"1201 Red River St","Waterloo neighborhood park",86.36,"poor",98.4252,"naturally_occurring","more than 18.29 m","more than 76.2 cm","Austin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,"Pecan","Carya illinoinensis","Austin","Texas",-97.73631906,30.27381596,"1201 Red River St","Waterloo neighborhood park",76.2,"poor",26.24672,"naturally_occurring","more than 18.29 m","60.96 to 76.2 cm","Austin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,"Southern live oak","Quercus virginiana","Austin","Texas",-97.73616726,30.27359805,"1201 Red River St","Waterloo neighborhood park",50.8,"fair",26.24672,"naturally_occurring","more than 18.29 m","45.72 to 60.96 cm","Austin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,"American elm","Ulmus americana","Austin","Texas",-97.73605625,30.27328994,"1201 Red River St","Waterloo neighborhood park",60.96,"fair",26.24672,"naturally_occurring","more than 18.29 m","45.72 to 60.96 cm","Austin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,"Escarpment live oak","Quercus fusiformis","Austin","Texas",-97.73648845,30.27319048,"1201 Red River St","Waterloo neighborhood park",68.58,"fair",98.4252,"naturally_occurring","more than 18.29 m","60.96 to 76.2 cm","Austin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,"Southern live oak","Quercus virginiana","Austin","Texas",-97.73648995,30.27333063,"1201 Red River St","Waterloo neighborhood park",68.58,"poor",26.24672,"naturally_occurring","more than 18.29 m","60.96 to 76.2 cm","Austin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,"Escarpment live oak","Quercus fusiformis","Austin","Texas",-97.73682105,30.27311879,"1201 Red River St","Waterloo neighborhood park",48.26,"poor",59.05512,"naturally_occurring","more than 18.29 m","45.72 to 60.96 cm","Austin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,"Escarpment live oak","Quercus fusiformis","Austin","Texas",-97.73677568,30.27306578,"1201 Red River St","Waterloo neighborhood park",83.82,"poor",114.8294,"naturally_occurring","more than 18.29 m","more than 76.2 cm","Austin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,"Escarpment live oak","Quercus fusiformis","Austin","Texas",-97.7365333,30.27302805,"1201 Red River St","Waterloo neighborhood park",91.44,"fair",104.98688,"naturally_occurring","more than 18.29 m","more than 76.2 cm","Austin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,"Escarpment live oak","Quercus fusiformis","Austin","Texas",-97.73645845,30.27290503,"1201 Red River St","Waterloo neighborhood park",73.66,"good",114.8294,"naturally_occurring","more than 18.29 m","60.96 to 76.2 cm","Austin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,"Escarpment live oak","Quercus fusiformis","Austin","Texas",-97.73614442,30.27285182,"1201 Red River St","Waterloo neighborhood park",78.74,"fair",114.8294,"naturally_occurring","more than 18.29 m","more than 76.2 cm","Austin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
185,"Pecan","Carya illinoinensis","Austin","Texas",-97.74530495,30.27242725,"900 Guadalupe St","Wooldridge square",60.96,"fair",141.07612,"naturally_occurring","more than 18.29 m","45.72 to 60.96 cm","Austin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,"Pecan","Carya illinoinensis","Austin","Texas",-97.74534398,30.27265455,"900 Guadalupe St","Wooldridge square",63.5,"fair",137.79528,"naturally_occurring","more than 18.29 m","60.96 to 76.2 cm","Austin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,"Pecan","Carya illinoinensis","Austin","Texas",-97.74519405,30.27257318,"900 Guadalupe St","Wooldridge square",83.82,"fair",121.39108,"naturally_occurring","more than 18.29 m","more than 76.2 cm","Austin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,"Pecan","Carya illinoinensis","Austin","Texas",-97.74565116,30.27281227,"900 Guadalupe St","Wooldridge square",76.2,"fair",137.79528,"naturally_occurring","more than 18.29 m","60.96 to 76.2 cm","Austin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
195,"Pecan","Carya illinoinensis","Austin","Texas",-97.74577012,30.27283741,"900 Guadalupe St","Wooldridge square",53.34,"fair",147.6378,"naturally_occurring","more than 18.29 m","45.72 to 60.96 cm","Austin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
199,"Post oak","Quercus stellata","Austin","Texas",-97.74564991,30.27220111,"900 Guadalupe St","Wooldridge square",63.5,"fair",26.24672,"naturally_occurring","more than 18.29 m","60.96 to 76.2 cm","Austin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,"Post oak","Quercus stellata","Austin","Texas",-97.74577853,30.27246317,"900 Guadalupe St","Wooldridge square",71.12,"fair",124.67192,"naturally_occurring","more than 18.29 m","60.96 to 76.2 cm","Austin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,"Cedar elm","Ulmus crassifolia","Austin","Texas",-97.74584015,30.27259138,"900 Guadalupe St","Wooldridge square",48.26,"poor",118.11024,"naturally_occurring","more than 18.29 m","45.72 to 60.96 cm","Austin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,"Post oak","Quercus stellata","Austin","Texas",-97.74590501,30.27268239,"900 Guadalupe St","Wooldridge square",91.44,"fair",26.24672,"naturally_occurring","more than 18.29 m","more than 76.2 cm","Austin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,"Cedar elm","Ulmus crassifolia","Austin","Texas",-97.74613489,30.2722192,"900 Guadalupe St","Wooldridge square",50.8,"fair",118.11024,"naturally_occurring","more than 18.29 m","45.72 to 60.96 cm","Austin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
205,"Cedar elm","Ulmus crassifolia","Austin","Texas",-97.74600664,30.27221224,"900 Guadalupe St","Wooldridge square",66.04,"fair",147.6378,"naturally_occurring","more than 18.29 m","60.96 to 76.2 cm","Austin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,"Pecan","Carya illinoinensis","Austin","Texas",-97.74584463,30.27219164,"900 Guadalupe St","Wooldridge square",50.8,"fair",114.8294,"naturally_occurring","more than 18.29 m","45.72 to 60.96 cm","Austin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
