"most_recent_observation","most_recent_observation_type","common_name","scientific_name","city","state","longitude_coordinate","latitude_coordinate","location_name","diameter_breast_height_CM","height_M","native","height_binned_M","diameter_breast_height_binned_CM","greater_metro","city_ID","tree_ID","planted_date","retired_date","location_type","zipcode","address","neighborhood","ward","district","overhead_utility","condition","percent_population"
"6/22/2016","inventory_date","Northern red  oak","Quercus rubra","Oklahoma City","Oklahoma",-97.52822704,35.48433368,"Alice harn park",37.338,167.32284,"naturally_occurring","more than 18.29 m","30.48 to 45.72 cm","OklahomaCity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6/22/2016","inventory_date","Shumard  oak","Quercus shumardii","Oklahoma City","Oklahoma",-97.52814516,35.48428336,"Alice harn park",42.926,98.4252,"naturally_occurring","more than 18.29 m","30.48 to 45.72 cm","OklahomaCity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6/22/2016","inventory_date","Northern red  oak","Quercus rubra","Oklahoma City","Oklahoma",-97.52806637,35.48422549,"Alice harn park",38.354,147.6378,"naturally_occurring","more than 18.29 m","30.48 to 45.72 cm","OklahomaCity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6/22/2016","inventory_date","Shumard  oak","Quercus shumardii","Oklahoma City","Oklahoma",-97.52798603,35.4841714,"Alice harn park",52.832,157.48032,"naturally_occurring","more than 18.29 m","45.72 to 60.96 cm","OklahomaCity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6/22/2016","inventory_date","Shumard  oak","Quercus shumardii","Oklahoma City","Oklahoma",-97.52831819,35.48436764,"Alice harn park",42.672,157.48032,"naturally_occurring","more than 18.29 m","30.48 to 45.72 cm","OklahomaCity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6/22/2016","inventory_date","Shumard  oak","Quercus shumardii","Oklahoma City","Oklahoma",-97.52841861,35.4843689,"Alice harn park",46.99,167.32284,"naturally_occurring","more than 18.29 m","45.72 to 60.96 cm","OklahomaCity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6/22/2016","inventory_date","oak","Quercus","Oklahoma City","Oklahoma",-97.52850049,35.48439154,"Alice harn park",41.402,137.79528,"no_info","more than 18.29 m","30.48 to 45.72 cm","OklahomaCity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6/22/2016","inventory_date","Bur  oak","Quercus macrocarpa","Oklahoma City","Oklahoma",-97.52822395,35.48437896,"Alice harn park",24.13,6.56168,"naturally_occurring","4.57 to 9.14 m","15.24 to 30.48 cm","OklahomaCity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2/19/2020","inventory_date","Vacant site) vacant site",NA,"Oklahoma City","Oklahoma",-97.52827184,35.48440161,"Alice harn park",0,0,"no_info",NA,NA,"OklahomaCity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6/22/2016","inventory_date","Sawtooth  oak","Quercus acutissima","Oklahoma City","Oklahoma",-97.528329,35.48442173,"Alice harn park",37.338,91.86352,"introduced","more than 18.29 m","30.48 to 45.72 cm","OklahomaCity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6/22/2016","inventory_date","Common  crapemyrtle","Lagerstroemia indica","Oklahoma City","Oklahoma",-97.52857619,35.48443306,"Alice harn park",5.334,19.68504,"introduced","more than 18.29 m","0 to 15.24 cm","OklahomaCity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6/22/2016","inventory_date","Common  crapemyrtle","Lagerstroemia indica","Oklahoma City","Oklahoma",-97.52867197,35.48464062,"Alice harn park",5.334,19.68504,"introduced","more than 18.29 m","0 to 15.24 cm","OklahomaCity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6/22/2016","inventory_date","Common  crapemyrtle","Lagerstroemia indica","Oklahoma City","Oklahoma",-97.52842479,35.48487712,"Alice harn park",5.334,19.68504,"introduced","more than 18.29 m","0 to 15.24 cm","OklahomaCity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6/22/2016","inventory_date","Common  crapemyrtle","Lagerstroemia indica","Oklahoma City","Oklahoma",-97.52816988,35.48483184,"Alice harn park",2.54,13.12336,"introduced","9.14 to 13.71 m","0 to 15.24 cm","OklahomaCity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6/22/2016","inventory_date","Shumard  oak","Quercus shumardii","Oklahoma City","Oklahoma",-97.52843406,35.48444752,"Alice harn park",34.544,124.67192,"naturally_occurring","more than 18.29 m","30.48 to 45.72 cm","OklahomaCity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6/22/2016","inventory_date","Sawtooth  oak","Quercus acutissima","Oklahoma City","Oklahoma",-97.52852212,35.48447268,"Alice harn park",35.56,167.32284,"introduced","more than 18.29 m","30.48 to 45.72 cm","OklahomaCity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6/22/2016","inventory_date","Sawtooth  oak","Quercus acutissima","Oklahoma City","Oklahoma",-97.52853757,35.48476579,"Alice harn park",36.322,98.4252,"introduced","more than 18.29 m","30.48 to 45.72 cm","OklahomaCity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6/22/2016","inventory_date","Sawtooth  oak","Quercus acutissima","Oklahoma City","Oklahoma",-97.52846032,35.48481485,"Alice harn park",39.878,108.26772,"introduced","more than 18.29 m","30.48 to 45.72 cm","OklahomaCity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6/22/2016","inventory_date","Sawtooth  oak","Quercus acutissima","Oklahoma City","Oklahoma",-97.52837999,35.48483372,"Alice harn park",38.608,118.11024,"introduced","more than 18.29 m","30.48 to 45.72 cm","OklahomaCity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6/22/2016","inventory_date","Shumard  oak","Quercus shumardii","Oklahoma City","Oklahoma",-97.52826257,35.48480856,"Alice harn park",40.64,147.6378,"naturally_occurring","more than 18.29 m","30.48 to 45.72 cm","OklahomaCity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6/22/2016","inventory_date","Shumard  oak","Quercus shumardii","Oklahoma City","Oklahoma",-97.52818069,35.48477334,"Alice harn park",47.498,147.6378,"naturally_occurring","more than 18.29 m","45.72 to 60.96 cm","OklahomaCity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6/22/2016","inventory_date","Shumard  oak","Quercus shumardii","Oklahoma City","Oklahoma",-97.52812198,35.48469534,"Alice harn park",40.64,108.26772,"naturally_occurring","more than 18.29 m","30.48 to 45.72 cm","OklahomaCity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6/22/2016","inventory_date","Shumard  oak","Quercus shumardii","Oklahoma City","Oklahoma",-97.5281019,35.48463622,"Alice harn park",39.116,118.11024,"naturally_occurring","more than 18.29 m","30.48 to 45.72 cm","OklahomaCity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
