"city_ID","most_recent_observation","most_recent_observation_type","common_name","scientific_name","city","state","longitude_coordinate","latitude_coordinate","diameter_breast_height_CM","height_M","native","height_binned_M","diameter_breast_height_binned_CM","greater_metro","tree_ID","planted_date","retired_date","location_type","zipcode","address","neighborhood","location_name","ward","district","overhead_utility","condition","percent_population"
"cbba41ce-415a-43c8-8221-2985e29cbce0","12/12/2018","inventory_date",NA,NA,"Santa Rosa","California",-122.746857469686,38.4768252803073,22.86,19.68504,"no_info","more than 18.29 m","15.24 to 30.48 cm","SantaRosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4d004694-1237-4da4-aee7-d74c0af71339","12/12/2018","inventory_date",NA,NA,"Santa Rosa","California",-122.746913255065,38.4768210115493,15.24,16.4042,"no_info","13.71 to 18.29 m","0 to 15.24 cm","SantaRosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13e79cc2-5c11-4f19-aef6-4da48d06c1c6","12/12/2018","inventory_date",NA,NA,"Santa Rosa","California",-122.746993923778,38.4766277427398,96.52,203.41208,"no_info","more than 18.29 m","more than 76.2 cm","SantaRosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"c63bb855-a1fc-47c1-8a81-87d4a120a893","12/12/2018","inventory_date",NA,NA,"Santa Rosa","California",-122.746991857653,38.4766187973111,96.52,203.41208,"no_info","more than 18.29 m","more than 76.2 cm","SantaRosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"dd2aa109-ec03-4317-a2e0-a20d25a5c879","12/12/2018","inventory_date","Sycamore","Platanus acerifolia","Santa Rosa","California",-122.746970387917,38.4765057275598,27.94,180.4462,"introduced","more than 18.29 m","15.24 to 30.48 cm","SantaRosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a9cd203a-96b6-4b91-8a25-66f1cad44b39","12/12/2018","inventory_date","Sycamore","Platanus acerifolia","Santa Rosa","California",-122.746971915053,38.4765097712938,27.94,180.4462,"introduced","more than 18.29 m","15.24 to 30.48 cm","SantaRosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b36328f3-7faf-4346-a66d-56da03dc429c","12/12/2018","inventory_date","Redwood","Sequoia sempervirens","Santa Rosa","California",-122.746952601275,38.4755455487935,0,0,"naturally_occurring",NA,NA,"SantaRosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08d56305-6ab2-4647-b7e7-a3006b50c2f4","12/12/2018","inventory_date","Redwood","Sequoia sempervirens","Santa Rosa","California",-122.746973711684,38.475590543833,76.2,6.56168,"naturally_occurring","4.57 to 9.14 m","60.96 to 76.2 cm","SantaRosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9a5d14d4-0640-43e3-82cf-42fbb0842948","12/12/2018","inventory_date","Redwood","Sequoia sempervirens","Santa Rosa","California",-122.74696113527,38.4755386849025,134.62,9.84252,"naturally_occurring","9.14 to 13.71 m","more than 76.2 cm","SantaRosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e6005c5e-2ba2-44be-9e34-7fe00dc75c47","12/12/2018","inventory_date","Redwood","Sequoia sempervirens","Santa Rosa","California",-122.746963291227,38.4755204913687,0,0,"naturally_occurring",NA,NA,"SantaRosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4d83c97d-dbee-4e9e-813c-26dc218d30c4","12/12/2018","inventory_date","Redwood","Sequoia sempervirens","Santa Rosa","California",-122.74694352829,38.4749167475617,114.3,275.59056,"naturally_occurring","more than 18.29 m","more than 76.2 cm","SantaRosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"c7b36737-8cfc-496a-a56d-2607156c2f71","12/20/2018","inventory_date","Oak","Quercus","Santa Rosa","California",-122.710223543579,38.491843034254,53.34,131.2336,"no_info","more than 18.29 m","45.72 to 60.96 cm","SantaRosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27b43734-21ed-4c12-9952-d7dda6f3efac","12/20/2018","inventory_date",NA,NA,"Santa Rosa","California",-122.710306997069,38.4919403654945,35.56,114.8294,"no_info","more than 18.29 m","30.48 to 45.72 cm","SantaRosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"07a9f8b3-9520-4f27-81b8-ea3b66d5fe82","12/20/2018","inventory_date","Maple","Acer","Santa Rosa","California",-122.7102888511,38.4919340937751,35.56,114.8294,"no_info","more than 18.29 m","30.48 to 45.72 cm","SantaRosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0ac1b39d-3c85-467b-8221-8bd2e0c1d6a0","12/20/2018","inventory_date","Oak","Quercus","Santa Rosa","California",-122.710222465601,38.4918460927758,53.34,131.2336,"no_info","more than 18.29 m","45.72 to 60.96 cm","SantaRosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e48eecc7-d8eb-4eb4-849c-1995eefc9e7b","12/20/2018","inventory_date",NA,NA,"Santa Rosa","California",-122.710248247249,38.491640489511,38.1,137.79528,"no_info","more than 18.29 m","30.48 to 45.72 cm","SantaRosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9240d78b-3e77-4102-82bb-4c47c0925500","12/20/2018","inventory_date",NA,NA,"Santa Rosa","California",-122.710275106876,38.4916677701914,38.1,137.79528,"no_info","more than 18.29 m","30.48 to 45.72 cm","SantaRosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68dd91cb-14f0-4944-bb54-0227732d8141","12/20/2018","inventory_date","Redwood","Sequoia sempervirens","Santa Rosa","California",-122.710420094963,38.4915979513162,60.96,262.4672,"naturally_occurring","more than 18.29 m","45.72 to 60.96 cm","SantaRosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85619d2a-4ef0-4792-91a0-0362f27d7e1c","12/20/2018","inventory_date","Redwood","Sequoia sempervirens","Santa Rosa","California",-122.710428000138,38.4915866593548,38.1,229.6588,"naturally_occurring","more than 18.29 m","30.48 to 45.72 cm","SantaRosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"814b3110-62f9-4e10-90c8-46696a4a5689","12/20/2018","inventory_date","Redwood","Sequoia sempervirens","Santa Rosa","California",-122.710446415601,38.4915835094175,35.56,196.8504,"naturally_occurring","more than 18.29 m","30.48 to 45.72 cm","SantaRosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5c676513-ef2f-46eb-abde-da16109930c9","12/20/2018","inventory_date",NA,NA,"Santa Rosa","California",-122.710056187442,38.4915085647763,35.56,104.98688,"no_info","more than 18.29 m","30.48 to 45.72 cm","SantaRosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223208bf-c3a5-4e93-b6dc-307c0bf08f82","12/20/2018","inventory_date",NA,NA,"Santa Rosa","California",-122.710054121317,38.4915064905966,35.56,104.98688,"no_info","more than 18.29 m","30.48 to 45.72 cm","SantaRosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
