"scientific_name","city","state","native","diameter_breast_height_binned_CM","greater_metro","city_ID","tree_ID","planted_date","most_recent_observation","retired_date","most_recent_observation_type","common_name","longitude_coordinate","latitude_coordinate","location_type","zipcode","address","neighborhood","location_name","ward","district","overhead_utility","diameter_breast_height_CM","condition","height_M","height_binned_M","percent_population"
"Thuja occidentalis","Worcester","Massachusetts","naturally_occurring","30.48 to 45.72 cm","Worcester",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fraxinus pennsylvanica","Worcester","Massachusetts","naturally_occurring","30.48 to 45.72 cm","Worcester",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fraxinus pennsylvanica","Worcester","Massachusetts","naturally_occurring","30.48 to 45.72 cm","Worcester",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fraxinus pennsylvanica","Worcester","Massachusetts","naturally_occurring","30.48 to 45.72 cm","Worcester",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fraxinus pennsylvanica","Worcester","Massachusetts","naturally_occurring","30.48 to 45.72 cm","Worcester",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fraxinus pennsylvanica","Worcester","Massachusetts","naturally_occurring","30.48 to 45.72 cm","Worcester",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fraxinus pennsylvanica","Worcester","Massachusetts","naturally_occurring","30.48 to 45.72 cm","Worcester",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fraxinus pennsylvanica","Worcester","Massachusetts","naturally_occurring","30.48 to 45.72 cm","Worcester",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fraxinus pennsylvanica","Worcester","Massachusetts","naturally_occurring","30.48 to 45.72 cm","Worcester",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fraxinus pennsylvanica","Worcester","Massachusetts","naturally_occurring","30.48 to 45.72 cm","Worcester",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fraxinus pennsylvanica","Worcester","Massachusetts","naturally_occurring","30.48 to 45.72 cm","Worcester",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fraxinus pennsylvanica","Worcester","Massachusetts","naturally_occurring","30.48 to 45.72 cm","Worcester",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fraxinus americana","Worcester","Massachusetts","naturally_occurring","30.48 to 45.72 cm","Worcester",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fraxinus americana","Worcester","Massachusetts","naturally_occurring","30.48 to 45.72 cm","Worcester",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fraxinus americana","Worcester","Massachusetts","naturally_occurring","30.48 to 45.72 cm","Worcester",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
